Lap,Metric,Task,Value,Unit
All,Total indexing time,,262.0801166666667,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.0216,min
All,Max indexing time per shard,,31.81051666666667,min
All,Total merge time,,256.61975,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.016541666666666666,min
All,Max merge time per shard,,37.94916666666666,min
All,Total merge throttle time,,21.410283333333332,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0.0,min
All,Max merge throttle time per shard,,4.496783333333334,min
All,Total refresh time,,117.13628333333332,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.028425,min
All,Max refresh time per shard,,14.705816666666667,min
All,Total flush time,,1.3282999999999998,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.010491666666666667,min
All,Max flush time per shard,,0.05185,min
All,Total Young Gen GC,,252.176,s
All,Total Old Gen GC,,1.28,s
All,Store size,,26.190315424464643,GB
All,Translog size,,1.3585900943726301,GB
All,Heap used for segments,,49.986528396606445,MB
All,Heap used for doc values,,2.0170860290527344,MB
All,Heap used for terms,,42.8375768661499,MB
All,Heap used for norms,,0.47265625,MB
All,Heap used for points,,0.5566701889038086,MB
All,Heap used for stored fields,,4.1025390625,MB
All,Segment count,,725,
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,14.48,ops/s
All,Median Throughput,index-stats,17.53,ops/s
All,Max Throughput,index-stats,18.69,ops/s
All,50th percentile latency,index-stats,46932.18792251719,ms
All,90th percentile latency,index-stats,61316.244099114556,ms
All,99th percentile latency,index-stats,64668.417605915165,ms
All,99.9th percentile latency,index-stats,64970.07097350576,ms
All,100th percentile latency,index-stats,64996.96157901781,ms
All,50th percentile service time,index-stats,41.695028499816544,ms
All,90th percentile service time,index-stats,48.707126488443464,ms
All,99th percentile service time,index-stats,124.17875190760235,ms
All,99.9th percentile service time,index-stats,186.02053549679945,ms
All,100th percentile service time,index-stats,278.29266199842095,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,21.97,ops/s
All,Median Throughput,node-stats,23.58,ops/s
All,Max Throughput,node-stats,23.86,ops/s
All,50th percentile latency,node-stats,19161.07554351038,ms
All,90th percentile latency,node-stats,32206.874714323203,ms
All,99th percentile latency,node-stats,34914.15879290493,ms
All,99.9th percentile latency,node-stats,35194.006639183644,ms
All,100th percentile latency,node-stats,35219.50029002619,ms
All,50th percentile service time,node-stats,38.76484200009145,ms
All,90th percentile service time,node-stats,45.12805228296202,ms
All,99th percentile service time,node-stats,115.91071849805303,ms
All,99.9th percentile service time,node-stats,207.03641007372178,ms
All,100th percentile service time,node-stats,219.8816179879941,ms
All,error rate,node-stats,0.00,%
All,Min Throughput,default,23.09,ops/s
All,Median Throughput,default,23.24,ops/s
